timestamp,price,fast_ema,slow_ema,position_open
2026-06-23T01:50:30.146159,4151.49,4183.08,4186.39,no
2026-06-23T06:17:00.534400,4121.51,4146.3,4165.23,no
2026-06-23T10:07:26.760250,4132.8,4129.08,4149.26,no
2026-06-23T12:49:05.046785,4117.93,4124.26,4143.29,no
2026-06-23T15:42:26.184792,4137.55,4128.85,4140.79,no
2026-06-23T17:31:58.441903,4131.19,4130.35,4139.48,no
2026-06-23T19:30:37.401961,4122.07,4126.29,4135.87,no
2026-06-23T21:17:33.773602,4110.14,4121.42,4132.69,no
2026-06-23T22:42:02.672829,4100.59,4117.26,4129.77,no
2026-06-23T23:42:45.845682,4084.6,4111.33,4125.98,no
2026-06-24T01:47:26.650083,4092.92,4107.3,4121.71,no
2026-06-24T05:53:25.804743,4074.43,4083.18,4103.91,no
2026-06-24T09:48:04.249679,4068.05,4078.54,4095.15,no
2026-06-24T12:11:23.740359,4040.53,4062.59,4082.99,no
2026-06-24T15:12:10.336409,3999.36,4032.73,4062.25,no
2026-06-24T17:21:28.006368,4000.28,4022.5,4052.27,no
2026-06-24T19:14:40.186873,3976.85,4003.3,4037.5,no
2026-06-24T21:00:05.135663,4000.92,4004.62,4035.11,no
2026-06-24T22:25:13.395927,4001.91,4004.08,4032.09,no
2026-06-24T23:45:38.501226,4014.49,4005.29,4030.04,no
2026-06-25T01:52:09.335266,3985.57,3998.89,4022.66,no
2026-06-25T06:16:40.915872,3980.18,3990.62,4009.03,no
2026-06-25T09:47:57.514075,3988.39,3989.34,4003.75,no
2026-06-25T12:09:29.000029,3982.74,3985.91,3998.43,no
2026-06-25T15:19:45.380694,4006.15,3999.3,4002.59,no
2026-06-25T17:32:54.443999,4032.68,4015.21,4010.14,no
2026-06-25T19:28:28.534505,4039.21,4023.41,4014.98,no
2026-06-25T21:15:28.445683,4026.7,4022.09,4015.02,no
