timestamp,action,direction,price
2026-06-23T01:50:30.604028,OPEN,SELL,4151.49
2026-06-29T09:55:30.310213,OPEN,SELL,4034.465
2026-07-09T07:55:06.400900,OPEN,BUY,4110.629999999999
2026-07-15T03:40:15.467261,OPEN,SELL,4032.56
2026-07-20T18:44:44.776498,OPEN,SELL,4006.05
2026-07-27T18:08:40.413627,OPEN,SELL,4077.69
2026-07-27T19:58:01.592859,OPEN,BUY,4087.505
2026-07-29T18:12:35.861967,OPEN,BUY,4078.745
2026-07-31T06:51:13.427190,OPEN,SELL,4077.9700000000003
2026-08-03T04:52:13.374813,OPEN,BUY,4070.835
2026-08-04T00:16:43.934300,OPEN,BUY,4063.83
2026-08-07T00:33:24.250825,OPEN,SELL,4244.01
2026-08-11T19:49:18.014839,OPEN,SELL,4367.71
2026-08-13T06:02:41.466374,OPEN,SELL,4382.379999999999
2026-08-14T13:56:49.339966,OPEN,BUY,4385.275
